time,pop,traffic,CPU,MEM
2013-11-04 00:00:00,6000.0,179.9,43.9,143.2
2013-11-04 00:10:00,6000.0,180.1,43.9,147.4
2013-11-04 00:20:00,6000.0,180.8,45.5,144.2
2013-11-04 00:30:00,6000.0,179.7,43.3,143.6
2013-11-04 00:40:00,6000.0,179.9,44.9,139.9
2013-11-04 00:50:00,6000.0,179.5,45.7,156.1
2013-11-04 01:00:00,6000.0,180.1,47.0,153.3
2013-11-04 01:10:00,6000.0,180.3,45.1,137.8
2013-11-04 01:20:00,6000.0,180.2,46.0,140.1
2013-11-04 01:30:00,6000.0,180.1,44.9,142.1
2013-11-04 01:40:00,6000.0,720.3,177.0,558.0
2013-11-04 01:50:00,6000.0,719.8,179.7,574.8
2013-11-04 02:00:00,6000.0,719.8,184.1,579.9
2013-11-04 02:10:00,6000.0,719.5,178.8,581.4
2013-11-04 02:20:00,6000.0,719.3,184.1,574.2
2013-11-04 02:30:00,6000.0,720.1,182.4,589.2
2013-11-04 02:40:00,6000.0,717.8,183.8,556.9
2013-11-04 02:50:00,6000.0,721.2,182.7,591.0
2013-11-04 03:00:00,6000.0,719.8,176.2,567.6
2013-11-04 03:10:00,6000.0,718.9,179.8,586.6
2013-11-04 03:20:00,6000.0,1081.3,273.6,853.1
2013-11-04 03:30:00,6000.0,1080.9,277.3,870.1
2013-11-04 03:40:00,6000.0,1081.0,267.7,864.8
2013-11-04 03:50:00,6000.0,1081.0,271.9,859.1
2013-11-04 04:00:00,6000.0,1080.2,275.6,865.3
2013-11-04 04:10:00,6000.0,1081.8,270.6,862.0
2013-11-04 04:20:00,6000.0,1080.7,267.3,853.4
2013-11-04 04:30:00,6000.0,1081.0,273.6,882.8
2013-11-04 04:40:00,6000.0,1079.0,270.4,870.2
2013-11-04 04:50:00,6000.0,1080.9,274.2,860.5
2013-11-04 05:00:00,6000.0,720.7,176.8,585.1
2013-11-04 05:10:00,6000.0,719.1,174.2,571.1
2013-11-04 05:20:00,6000.0,719.0,182.2,584.3
2013-11-04 05:30:00,6000.0,720.4,183.9,570.3
2013-11-04 05:40:00,6000.0,720.7,179.3,579.8
2013-11-04 05:50:00,6000.0,720.5,185.8,576.4
2013-11-04 06:00:00,6000.0,719.5,181.4,572.1
2013-11-04 06:10:00,6000.0,720.6,184.7,587.5
2013-11-04 06:20:00,6000.0,719.2,178.5,577.8
2013-11-04 06:30:00,6000.0,720.3,180.3,592.2
2013-11-04 06:40:00,6000.0,180.2,43.9,146.3
2013-11-04 06:50:00,6000.0,180.7,43.5,138.0
2013-11-04 07:00:00,6000.0,179.3,45.0,140.4
2013-11-04 07:10:00,6000.0,179.9,45.0,142.7
2013-11-04 07:20:00,6000.0,178.4,45.9,146.1
2013-11-04 07:30:00,6000.0,180.5,45.8,142.9
2013-11-04 07:40:00,6000.0,180.4,46.7,143.4
2013-11-04 07:50:00,6000.0,179.8,45.2,150.8
2013-11-04 08:00:00,6000.0,180.0,47.8,152.4
2013-11-04 08:10:00,6000.0,180.1,45.9,139.1
