time,cell04259
2013-11-04 00:00:00,120.55095348513927
2013-11-04 00:10:00,152.20242458870763
2013-11-04 00:20:00,126.8777550632817
2013-11-04 00:30:00,117.04105114400784
2013-11-04 00:40:00,116.26155709471723
2013-11-04 00:50:00,118.1769544371962
2013-11-04 01:00:00,113.51657223497216
2013-11-04 01:10:00,106.95606875843389
2013-11-04 01:20:00,106.85675532291096
2013-11-04 01:30:00,138.62791293462237
2013-11-04 01:40:00,112.14857263123062
2013-11-04 01:50:00,103.89589914691196
2013-11-04 02:00:00,106.11400740596552
2013-11-04 02:10:00,106.50235852129772
2013-11-04 02:20:00,105.65759359797552
2013-11-04 02:30:00,109.71532801035374
2013-11-04 02:40:00,107.30998597310196
2013-11-04 02:50:00,124.731371810204
2013-11-04 03:00:00,108.6239498675872
2013-11-04 03:10:00,98.79839434555709
2013-11-04 03:20:00,114.5420114528369
2013-11-04 03:30:00,104.31930647884133
2013-11-04 03:40:00,100.77520901872631
2013-11-04 03:50:00,108.45211126240557
2013-11-04 04:00:00,100.91805443526
2013-11-04 04:10:00,110.181055223678
2013-11-04 04:20:00,109.7419623956146
2013-11-04 04:30:00,108.4937388701793
2013-11-04 04:40:00,107.85247100459485
2013-11-04 04:50:00,107.13702757419534
2013-11-04 05:00:00,102.87447576594496
2013-11-04 05:10:00,114.05345809695233
2013-11-04 05:20:00,111.87358371266926
2013-11-04 05:30:00,126.86085476413756
2013-11-04 05:40:00,124.9675175902029
2013-11-04 05:50:00,143.8178586876196
2013-11-04 06:00:00,159.85217330566653
2013-11-04 06:10:00,212.4643891018208
2013-11-04 06:20:00,186.3209209474784
2013-11-04 06:30:00,192.4381297779338
2013-11-04 06:40:00,206.4161096599453
2013-11-04 06:50:00,235.0861120343606
2013-11-04 07:00:00,453.4839687771991
2013-11-04 07:10:00,265.13971505340606
2013-11-04 07:20:00,299.80141718911966
2013-11-04 07:30:00,526.4024724468829
2013-11-04 07:40:00,365.4666363075737
