time,Normalized Sum (total)
2013-11-04 00:00:00,0.0906561531468269
2013-11-04 00:10:00,0.08870102059808323
2013-11-04 00:20:00,0.0864589861824914
2013-11-04 00:30:00,0.08484729796458033
2013-11-04 00:40:00,0.08307604239317214
2013-11-04 00:50:00,0.08171255678701685
2013-11-04 01:00:00,0.08060269385517616
2013-11-04 01:10:00,0.07910608233807429
2013-11-04 01:20:00,0.07786626052581681
2013-11-04 01:30:00,0.07660368450445253
2013-11-04 01:40:00,0.0752705158749166
2013-11-04 01:50:00,0.07396393608190278
2013-11-04 02:00:00,0.07289482446783584
2013-11-04 02:10:00,0.07170074011558145
2013-11-04 02:20:00,0.0705888617194852
2013-11-04 02:30:00,0.06954887785269005
2013-11-04 02:40:00,0.06866348023765868
2013-11-04 02:50:00,0.06772430651976181
2013-11-04 03:00:00,0.06695054675027823
2013-11-04 03:10:00,0.06609442652499581
2013-11-04 03:20:00,0.06539962065127615
2013-11-04 03:30:00,0.06489428315867185
2013-11-04 03:40:00,0.06434175646033623
2013-11-04 03:50:00,0.06387697080984452
2013-11-04 04:00:00,0.063667235158169
2013-11-04 04:10:00,0.06350048750264203
2013-11-04 04:20:00,0.06332353441036909
2013-11-04 04:30:00,0.06344480167385057
2013-11-04 04:40:00,0.06358996210028557
2013-11-04 04:50:00,0.06400031012203428
2013-11-04 05:00:00,0.06475433582034522
2013-11-04 05:10:00,0.06551747194419183
2013-11-04 05:20:00,0.06667191404544771
2013-11-04 05:30:00,0.06838615018002858
2013-11-04 05:40:00,0.07044567706596562
2013-11-04 05:50:00,0.07320317460596573
2013-11-04 06:00:00,0.07696640132556584
2013-11-04 06:10:00,0.0809944878565616
2013-11-04 06:20:00,0.0857254683608926
2013-11-04 06:30:00,0.09164441690398449
2013-11-04 06:40:00,0.0980578254181296
2013-11-04 06:50:00,0.10440898610582329
2013-11-04 07:00:00,0.11148026025621598
2013-11-04 07:10:00,0.11824984972935569
2013-11-04 07:20:00,0.12440983195920503
2013-11-04 07:30:00,0.13038942188654068
2013-11-04 07:40:00,0.13569862230332375
2013-11-04 07:50:00,0.140324100404935
2013-11-04 08:00:00,0.14502518299268063
2013-11-04 08:10:00,0.14904447998339354
2013-11-04 08:20:00,0.1519614284551524
2013-11-04 08:30:00,0.15420841286451373
2013-11-04 08:40:00,0.1566447096477361
2013-11-04 08:50:00,0.15985818227371623
2013-11-04 09:00:00,0.16429629430792494
2013-11-04 09:10:00,0.1665622185580557
2013-11-04 09:20:00,0.16781529644188303
2013-11-04 09:30:00,0.16965916354333022
2013-11-04 09:40:00,0.17164906444531194
2013-11-04 09:50:00,0.1728705122050754
2013-11-04 10:00:00,0.1743870792157536
2013-11-04 10:10:00,0.1756026928830627
2013-11-04 10:20:00,0.17632497472216546
2013-11-04 10:30:00,0.17789820749984503
2013-11-04 10:40:00,0.17773438439632155
2013-11-04 10:50:00,0.17769031968963542
2013-11-04 11:00:00,0.17828726607994536
2013-11-04 11:10:00,0.1794009633264529
2013-11-04 11:20:00,0.18040858740696203
2013-11-04 11:30:00,0.18191673064479258
2013-11-04 11:40:00,0.18307390647636818
2013-11-04 11:50:00,0.18428461982142094
2013-11-04 12:00:00,0.18633294327495492
2013-11-04 12:10:00,0.18811098875663895
2013-11-04 12:20:00,0.18944955073484032
2013-11-04 12:30:00,0.19098822492757814
2013-11-04 12:40:00,0.19226040944256123
2013-11-04 12:50:00,0.19301286083058472
2013-11-04 13:00:00,0.19392567931648425
2013-11-04 13:10:00,0.19394089742059548
2013-11-04 13:20:00,0.19341374058943697
